productname,productpage
Actimel Strawberry Yogurt Drinks,https://groceries.asda.com//product/976012
ASDA Greek Style Fat Free Yogurt,https://groceries.asda.com//product/910000461906
ASDA Greek Style Yogurt,https://groceries.asda.com//product/25611979
ASDA Greek Style Yogurt,https://groceries.asda.com//product/910000773349
ASDA 6 Low Fat Red Fruit Yogurts,https://groceries.asda.com//product/910002962908
Munch Bunch Double Up Strawberry & Vanilla Yogurts,https://groceries.asda.com//product/910000446045
Muller Corner Vanilla Chocolate Balls & Banana Chocolate Flakes Yogurt,https://groceries.asda.com//product/1000120228326
"Petits Filous Apricot, Strawberry & Raspberry Yogurt",https://groceries.asda.com//product/910001458433
Wildlife Variety Yogurt Choobs,https://groceries.asda.com//product/1000078555663
Muller Corner Vanilla Yogurt with Chocolate Balls,https://groceries.asda.com//product/1000120228362
Muller Corner Strawberry Yogurt,https://groceries.asda.com//product/1000120228322
Muller Corner Banana Yogurt with Chocolate Flakes,https://groceries.asda.com//product/1000120228335
Muller Light Fat Free Toffee Yogurt,https://groceries.asda.com//product/1000116808315
Muller Corner Toffee Yogurt with Chocolate Hoops,https://groceries.asda.com//product/1000120228313
Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,https://groceries.asda.com//product/1000120228351
"Frubes Strawberry, Red Berry and Peach Flavour Yogurt",https://groceries.asda.com//product/1000078555677
Muller Light Fat Free Strawberry Yogurt,https://groceries.asda.com//product/1000116808369
Petits Filous Apricot & Strawberry Yogurt,https://groceries.asda.com//product/910001458398
Muller Light Fat Free Banana and Custard Yogurt,https://groceries.asda.com//product/1000116808339
Muller Rice Strawberry Low Fat Dessert,https://groceries.asda.com//product/910001390057
Muller Corner Vanilla Yogurt with Chocolate Digestive Biscuits,https://groceries.asda.com//product/1000120228348
Petits Filous Raspberry & Strawberry Yogurt,https://groceries.asda.com//product/910001458097
Frubes Strawberry Flavour Yogurt,https://groceries.asda.com//product/1000078555632
Munch Bunch Squashums Raspberry Yogurt,https://groceries.asda.com//product/78035003
Activia Rhubarb Yogurts,https://groceries.asda.com//product/1000106846731
Activia Strawberry Yogurts,https://groceries.asda.com//product/1000106846552
Activia Fat Free Strawberry Yogurts,https://groceries.asda.com//product/1000106846740
Activia Fat Free Cherry Yogurts,https://groceries.asda.com//product/1000106846457
Activia Fat Free Peach Yogurts,https://groceries.asda.com//product/1000106846815
"Activia Mango, Strawberry, Kiwi and Apricot Yogurts",https://groceries.asda.com//product/1000106846691
Activia Mango Yogurts,https://groceries.asda.com//product/1000106846550
Muller Corner Chocolate Digestive and Strawberry Shortcake Yogurts,https://groceries.asda.com//product/1000120228426
"Muller Corner Strawberry, Peach & Apricot Yogurts",https://groceries.asda.com//product/1000120228378
Activia Fat Free Vanilla Yogurts,https://groceries.asda.com//product/1000106846668
Activia Fat Free Strawberry & Peach Yogurts,https://groceries.asda.com//product/1000106846642
Muller Light Fat Free Red Fruits Yogurts,https://groceries.asda.com//product/1000116808384
Muller Light Fat Free Yogurts with Chocolate Sprinkles,https://groceries.asda.com//product/1000116808317
Fage Total Fat Free Greek Recipe Natural Yogurt,https://groceries.asda.com//product/910001162038
Activia Fig Yogurts,https://groceries.asda.com//product/1000106846771
Activia Strawberry Yogurts,https://groceries.asda.com//product/1000106846631
Muller Light Fat Free Greek Style Smooth Toffee Yogurts,https://groceries.asda.com//product/1000106846672
Actimel Fat Free Raspberry Yogurt Drinks,https://groceries.asda.com//product/910001458752
Actimel Strawberry Yogurt Drinks,https://groceries.asda.com//product/71431377
Petits Filous Strawberry Flavour Yogurt Drink,https://groceries.asda.com//product/1000105873612
Eat Natural 3 Fruit & Nut Bars Almond & Apricot with a Yoghurt Coating,https://groceries.asda.com//product/1000136352541
Crucials Yoghurt & Mint Dressing Sauce,https://groceries.asda.com//product/1000074099881
Arla Skyr Icelandic Style Raspberry Pouring Yogurt,https://groceries.asda.com//product/1000159248497
"Activia Fat Free Raspberry, Strawberry, Cherry & Blueberry Yogurts",https://groceries.asda.com//product/1000106846606
Arla Skyr Icelandic Style Natural Pouring Yogurt,https://groceries.asda.com//product/1000159248572
Kallo Yoghurt Topped Rice Cakes,https://groceries.asda.com//product/1000008341552
Kiddylicious Yoghurt Splashed Rice Cakes,https://groceries.asda.com//product/910003258574
Cow & Gate Orchard Fruit Yoghurt Baby Food Jar 7m+,https://groceries.asda.com//product/910002552704
Cow & Gate Yummy Banana Yoghurt Baby Food Jar 6m+,https://groceries.asda.com//product/910002551802
Webbox Lick-e-Lix Yoghurt with Cheese & Taurine 5 Pack,https://groceries.asda.com//product/1000036796224
Cow & Gate Apple & Blueberry Yoghurt Baby Food Jar 7m+,https://groceries.asda.com//product/910002552735
Wagg Puppy & Junior Treats with Chicken & Yoghurt,https://groceries.asda.com//product/910002585782
Alpen Protein 5 Berries & Yoghurt Bars,https://groceries.asda.com//product/1000116563970
Garnier Ultimate Blends Almond Milk & Agave Sap Normal Hair Yoghurt Mask,https://groceries.asda.com//product/1000106846499
"Piccolo Organic Pear, Strawberry, Blackberry & Yoghurt from 6 Months+",https://groceries.asda.com//product/910003223702
Sistema Yoghurt To Go,https://groceries.asda.com//product/1000011828431
Danone Peach & Raspberry No Added Sugar Yogurts,https://groceries.asda.com//product/1000194987884
Actimel Multifruit Yogurt Drinks,https://groceries.asda.com//product/81421582
Babybel Mini Rolls,https://groceries.asda.com//product/1000109748141
Danone Strawberry No Added Sugar Yogurts,https://groceries.asda.com//product/1000194987900
Munch Bunch Squashums Strawberry Yogurt Drinks,https://groceries.asda.com//product/48537352
Ski Smooth Strawberry & Raspberry Yogurts,https://groceries.asda.com//product/910000019101
Activia Intensely Creamy Strawberry Yogurts,https://groceries.asda.com//product/910001285499
Light & Free Fat Free Greek Style Strawberry Yogurts,https://groceries.asda.com//product/910002325420
Nestle Vanilla Yogurts with Mini Smarties,https://groceries.asda.com//product/910002335898
